z;acetoneold;acetone;methanolold;methanol;N2old;N2;xN2;yN2;xMeth;yMeth;xAc;yAc
0.042897;0.26125;0.29913;0.43292;0.48335;0.30583;0.21752;;;;;;
0.043134;0.26093;0.29901;0.4324;0.48307;0.30667;0.21793;;;;;;
0.043371;0.26061;0.29888;0.43187;0.48278;0.30751;0.21834;;;;;;
0.043608;0.2603;0.29875;0.43135;0.4825;0.30836;0.21875;;;;;;
0.043845;0.25998;0.29862;0.43082;0.48222;0.3092;0.21916;;;;;;
0.044082;0.25966;0.29849;0.4303;0.48194;0.31004;0.21957;;;;;;
0.044319;0.25934;0.29836;0.42977;0.48166;0.31089;0.21998;;;;;;
0.044556;0.25903;0.29824;0.42924;0.48137;0.31173;0.22039;;;;;;
0.044793;0.25871;0.29811;0.42872;0.48109;0.31257;0.22081;;;;;;
0.04503;0.25839;0.29798;0.42819;0.4808;0.31342;0.22122;;;;;;
0.045267;0.25808;0.29785;0.42767;0.48052;0.31426;0.22163;;;;;;
0.045504;0.25776;0.29772;0.42714;0.48023;0.3151;0.22205;;;;;;
0.045741;0.25744;0.29759;0.42661;0.47995;0.31595;0.22247;;;;;;
0.045978;0.25712;0.29746;0.42609;0.47966;0.31679;0.22288;;;;;;
0.046215;0.25681;0.29733;0.42556;0.47938;0.31763;0.2233;;;;;;
0.046452;0.25649;0.2972;0.42504;0.47909;0.31847;0.22371;;;;;;
0.046689;0.25617;0.29707;0.42451;0.4788;0.31932;0.22413;;;;;;
0.046926;0.25585;0.29693;0.42398;0.47851;0.32016;0.22455;;;;;;
0.047163;0.25554;0.2968;0.42346;0.47822;0.321;0.22497;;;;;;
0.0474;0.25522;0.29667;0.42293;0.47794;0.32185;0.22539;;;;;;
0.047637;0.2549;0.29654;0.42241;0.47765;0.32269;0.22581;;;;;;
0.047874;0.25458;0.29641;0.42188;0.47736;0.32353;0.22624;;;;;;
0.048111;0.25427;0.29627;0.42136;0.47707;0.32438;0.22666;;;;;;
0.048348;0.25395;0.29614;0.42083;0.47678;0.32522;0.22708;;;;;;
0.048585;0.25363;0.29601;0.4203;0.47649;0.32606;0.2275;;;;;;
0.048822;0.25332;0.29588;0.41978;0.4762;0.32691;0.22793;;;;;;
0.049059;0.253;0.29574;0.41925;0.4759;0.32775;0.22835;;;;;;
0.049296;0.25268;0.29561;0.41873;0.47561;0.32859;0.22878;;;;;;
0.049533;0.25236;0.29547;0.4182;0.47532;0.32944;0.22921;;;;;;
0.04977;0.25205;0.29534;0.41767;0.47503;0.33028;0.22963;;;;;;
0.050007;0.25173;0.2952;0.41715;0.47473;0.33112;0.23006;;;;;;
0.050244;0.25141;0.29507;0.41662;0.47444;0.33197;0.23049;;;;;;
0.050481;0.25109;0.29493;0.4161;0.47415;0.33281;0.23092;;;;;;
0.050718;0.25078;0.2948;0.41557;0.47385;0.33365;0.23135;;;;;;
0.050955;0.25046;0.29466;0.41504;0.47356;0.3345;0.23178;;;;;;
0.051192;0.25014;0.29453;0.41452;0.47326;0.33534;0.23221;;;;;;
0.051429;0.24982;0.29439;0.41399;0.47297;0.33618;0.23264;;;;;;
0.051666;0.24951;0.29425;0.41347;0.47267;0.33703;0.23308;;;;;;
0.051903;0.24919;0.29412;0.41294;0.47237;0.33787;0.23351;;;;;;
0.05214;0.24887;0.29398;0.41242;0.47208;0.33871;0.23394;;;;;;
0.052377;0.24856;0.29384;0.41189;0.47178;0.33956;0.23438;;;;;;
0.052614;0.24824;0.29371;0.41136;0.47148;0.3404;0.23481;;;;;;
0.052851;0.24792;0.29357;0.41084;0.47118;0.34124;0.23525;;;;;;
0.053088;0.2476;0.29343;0.41031;0.47088;0.34208;0.23569;;;;;;
0.053325;0.24729;0.29329;0.40979;0.47058;0.34293;0.23612;;;;;;
0.053562;0.24697;0.29316;0.40926;0.47028;0.34377;0.23656;;;;;;
0.053799;0.24665;0.29302;0.40873;0.46998;0.34461;0.237;;;;;;
0.054036;0.24633;0.29288;0.40821;0.46968;0.34546;0.23744;;;;;;
0.054273;0.24602;0.29274;0.40768;0.46938;0.3463;0.23788;;;;;;
0.05451;0.2457;0.2926;0.40716;0.46908;0.34714;0.23832;;;;;;
0.054747;0.24538;0.29246;0.40663;0.46878;0.34799;0.23876;;;;;;
0.054984;0.24506;0.29232;0.4061;0.46848;0.34883;0.23921;;;;;;
0.055221;0.24475;0.29218;0.40558;0.46817;0.34967;0.23965;;;;;;
0.055458;0.24443;0.29204;0.40505;0.46787;0.35052;0.24009;;;;;;
0.055695;0.24411;0.2919;0.40453;0.46757;0.35136;0.24054;;;;;;
0.055932;0.2438;0.29176;0.404;0.46726;0.3522;0.24098;;;;;;
0.056169;0.24348;0.29161;0.40348;0.46696;0.35305;0.24143;;;;;;
0.056406;0.24316;0.29147;0.40295;0.46665;0.35389;0.24188;;;;;;
0.056643;0.24284;0.29133;0.40242;0.46635;0.35473;0.24232;;;;;;
0.05688;0.24253;0.29119;0.4019;0.46604;0.35558;0.24277;;;;;;
0.057117;0.24221;0.29105;0.40137;0.46574;0.35642;0.24322;;;;;;
0.057354;0.24189;0.2909;0.40085;0.46543;0.35726;0.24367;;;;;;
0.057591;0.24157;0.29076;0.40032;0.46512;0.35811;0.24412;;;;;;
0.057828;0.24126;0.29062;0.39979;0.46481;0.35895;0.24457;;;;;;
0.058065;0.24094;0.29047;0.39927;0.4645;0.35979;0.24502;;;;;;
0.058302;0.24062;0.29033;0.39874;0.4642;0.36064;0.24548;;;;;;
0.058539;0.2403;0.29018;0.39822;0.46389;0.36148;0.24593;;;;;;
0.058776;0.23999;0.29004;0.39769;0.46358;0.36232;0.24638;;;;;;
0.059013;0.23967;0.28989;0.39716;0.46327;0.36317;0.24684;;;;;;
0.05925;0.23935;0.28975;0.39664;0.46296;0.36401;0.24729;;;;;;
0.059487;0.23903;0.2896;0.39611;0.46265;0.36485;0.24775;;;;;;
0.059724;0.23872;0.28946;0.39559;0.46233;0.3657;0.24821;;;;;;
0.059961;0.2384;0.28931;0.39506;0.46202;0.36654;0.24867;;;;;;
0.060198;0.23808;0.28917;0.39454;0.46171;0.36738;0.24912;;;;;;
0.060435;0.23777;0.28902;0.39401;0.4614;0.36822;0.24958;;;;;;
0.060672;0.23745;0.28887;0.39348;0.46108;0.36907;0.25004;;;;;;
0.060909;0.23713;0.28873;0.39296;0.46077;0.36991;0.2505;;;;;;
0.061146;0.23681;0.28858;0.39243;0.46046;0.37075;0.25097;;;;;;
0.061383;0.2365;0.28843;0.39191;0.46014;0.3716;0.25143;;;;;;
0.06162;0.23618;0.28828;0.39138;0.45983;0.37244;0.25189;;;;;;
0.061857;0.23586;0.28814;0.39085;0.45951;0.37328;0.25235;;;;;;
0.062094;0.23554;0.28799;0.39033;0.45919;0.37413;0.25282;;;;;;
0.062331;0.23523;0.28784;0.3898;0.45888;0.37497;0.25328;;;;;;
0.062568;0.23491;0.28769;0.38928;0.45856;0.37581;0.25375;;;;;;
