# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.21            	8.11073632e-04	4.52982702e-04	1.11380456e-04	3.78600280e-04	N/A
0.21125         	7.91571321e-04	4.46490873e-04	1.07921824e-04	3.71482241e-04	N/A
0.2125          	7.74746375e-04	4.40023475e-04	1.04686927e-04	3.64480975e-04	N/A
0.21375         	7.60600629e-04	4.33594089e-04	1.01626296e-04	3.57598379e-04	N/A
0.215           	7.48933586e-04	4.27229129e-04	9.87875863e-05	3.50836268e-04	N/A
0.21625         	7.39289799e-04	4.20920510e-04	9.62170937e-05	3.44195963e-04	N/A
0.2175          	7.31189776e-04	4.14673211e-04	9.39951927e-05	3.37678049e-04	N/A
0.21875         	7.24327816e-04	4.08478606e-04	9.21147658e-05	3.31282299e-04	N/A
0.22            	7.18160266e-04	4.02336450e-04	9.06746867e-05	3.25007711e-04	N/A
0.22125         	7.12512235e-04	3.96236583e-04	8.97457448e-05	3.18852666e-04	N/A
0.2225          	7.07144992e-04	3.90180290e-04	8.88292250e-05	3.12815035e-04	N/A
0.22375         	7.02012019e-04	3.84167742e-04	8.79692265e-05	3.06892411e-04	N/A
0.225           	6.97020392e-04	3.78199062e-04	8.70655915e-05	3.01082066e-04	N/A
0.22625         	6.92221803e-04	3.72275394e-04	8.61143521e-05	2.95381361e-04	N/A
0.2275          	6.87597694e-04	3.66397878e-04	8.51081616e-05	2.89787806e-04	N/A
0.22875         	6.83103761e-04	3.60565844e-04	8.40945683e-05	2.84299043e-04	N/A
0.23            	6.78811662e-04	3.54781892e-04	8.30385512e-05	2.78912579e-04	N/A
0.23125         	6.74621215e-04	3.49046189e-04	8.19735857e-05	2.73626321e-04	N/A
0.2325          	6.70518003e-04	3.43359102e-04	8.08982510e-05	2.68438320e-04	N/A
0.23375         	6.66501609e-04	3.37722158e-04	7.98342977e-05	2.63346264e-04	N/A
0.235           	6.62544673e-04	3.32135911e-04	7.88341641e-05	2.58348121e-04	N/A
0.23625         	6.58604219e-04	3.26600317e-04	7.78472708e-05	2.53441675e-04	N/A
0.2375          	6.54668365e-04	3.21116165e-04	7.69659532e-05	2.48624618e-04	N/A
0.23875         	6.50750294e-04	3.15683793e-04	7.61149733e-05	2.43894706e-04	N/A
0.24            	6.46787582e-04	3.10303969e-04	7.53766826e-05	2.39249524e-04	N/A
0.24125         	6.42791458e-04	3.04976652e-04	7.46668390e-05	2.34686683e-04	N/A
0.2425          	6.37652236e-04	2.99638345e-04	6.63537512e-05	2.30204121e-04	N/A
0.24375         	6.33628763e-04	2.94394729e-04	6.59168799e-05	2.25799405e-04	N/A
0.245           	6.29486641e-04	2.89248583e-04	6.53004506e-05	2.21469809e-04	N/A
0.24625         	6.25303682e-04	2.84134503e-04	6.47800852e-05	2.17212959e-04	N/A
0.2475          	6.21093205e-04	2.79071170e-04	6.42576245e-05	2.13026406e-04	N/A
0.24875         	6.16843463e-04	2.74067089e-04	6.37779097e-05	2.08907862e-04	N/A
0.25            	6.12586642e-04	2.69116921e-04	6.33556419e-05	2.04855203e-04	N/A
0.25125         	6.08299302e-04	2.64220762e-04	6.29817517e-05	2.00866204e-04	N/A
0.2525          	6.04007014e-04	2.59379124e-04	6.26372169e-05	1.96938761e-04	N/A
0.25375         	5.99707741e-04	2.54592494e-04	6.23129077e-05	1.93070942e-04	N/A
0.255           	5.95385769e-04	2.49860465e-04	6.20147026e-05	1.89260907e-04	N/A
0.25625         	5.91063496e-04	2.45184181e-04	6.17245400e-05	1.85506770e-04	N/A
0.2575          	5.86711430e-04	2.40563269e-04	6.14873306e-05	1.81806803e-04	N/A
0.25875         	5.82377933e-04	2.35997843e-04	6.12605295e-05	1.78159447e-04	N/A
0.26            	5.78003584e-04	2.31488344e-04	6.10535335e-05	1.74563267e-04	N/A
0.26125         	5.73622547e-04	2.27034662e-04	6.08581059e-05	1.71016876e-04	N/A
0.2625          	5.69203164e-04	2.22637296e-04	6.06723312e-05	1.67518965e-04	N/A
0.26375         	5.62952228e-04	2.18128414e-04	5.01762598e-05	1.64069228e-04	N/A
0.265           	5.58753122e-04	2.13797888e-04	5.08087696e-05	1.60666449e-04	N/A
0.26625         	5.54196987e-04	2.09627633e-04	5.06835804e-05	1.57309122e-04	N/A
0.2675          	5.49667199e-04	2.05450924e-04	5.06135401e-05	1.53996309e-04	N/A
0.26875         	5.45048012e-04	2.01324927e-04	5.04175156e-05	1.50727249e-04	N/A
0.27            	5.40361800e-04	1.97268706e-04	5.02859595e-05	1.47501276e-04	N/A
0.27125         	5.35589229e-04	1.93264528e-04	5.01336558e-05	1.44317834e-04	N/A
0.2725          	5.30722801e-04	1.89313130e-04	4.99497070e-05	1.41176425e-04	N/A
0.27375         	5.25753916e-04	1.85417684e-04	4.97402218e-05	1.38076685e-04	N/A
