"DEff","Mg","N2","N2Mass","T","U:0","U:1","U:2","UD:0","UD:1","UD:2","acetone","acetoneMass","epsEff","methanol","methanolMass","p","rho","sumWithoutRef","sumZones","phi","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.372e-05,0.038564,0.23668,0.17185,328,2.248e-10,0,0,0.00026431,0,0,0.28727,0.43264,1,0.47605,0.39551,99400,1.4056,0.82815,0,nan,1,0.023463,0.023463,0.0005,0.0005
1.372e-05,0.038553,0.23753,0.17251,328,2.7842e-10,0,0,0.00026336,0,0,0.28695,0.4323,1,0.47552,0.39519,99400,1.4052,0.82749,0,nan,1,0.0237,0.0237,0.0005,0.0005
1.372e-05,0.038541,0.23837,0.17318,328,3.1159e-10,0,0,0.00026243,0,0,0.28664,0.43195,1,0.47499,0.39487,99400,1.4048,0.82682,0,nan,1,0.023937,0.023937,0.0005,0.0005
1.372e-05,0.038529,0.23921,0.17384,328,3.2982e-10,0,0,0.00026152,0,0,0.28632,0.4316,1,0.47447,0.39456,99400,1.4043,0.82616,0,nan,1,0.024174,0.024174,0.0005,0.0005
1.372e-05,0.038518,0.24006,0.17451,328,3.4806e-10,0,0,0.0002606,0,0,0.286,0.43125,1,0.47394,0.39424,99400,1.4039,0.82549,0,nan,1,0.024411,0.024411,0.0005,0.0005
1.372e-05,0.038506,0.2409,0.17517,328,3.663e-10,0,0,0.00025968,0,0,0.28568,0.43091,1,0.47342,0.39392,99400,1.4035,0.82483,0,nan,1,0.024648,0.024648,0.0005,0.0005
1.372e-05,0.038494,0.24174,0.17584,328,3.8454e-10,0,0,0.00025877,0,0,0.28537,0.43056,1,0.47289,0.3936,99400,1.4031,0.82416,0,nan,1,0.024885,0.024885,0.0005,0.0005
1.372e-05,0.038483,0.24259,0.17651,328,3.7325e-10,0,0,0.00025787,0,0,0.28505,0.43021,1,0.47237,0.39328,99400,1.4026,0.82349,0,nan,1,0.025122,0.025122,0.0005,0.0005
1.372e-05,0.038471,0.24343,0.17717,328,3.3848e-10,0,0,0.00025699,0,0,0.28473,0.42986,1,0.47184,0.39296,99400,1.4022,0.82283,0,nan,1,0.025359,0.025359,0.0005,0.0005
1.372e-05,0.038459,0.24427,0.17784,328,3.0371e-10,0,0,0.0002561,0,0,0.28441,0.42951,1,0.47131,0.39264,99400,1.4018,0.82216,0,nan,1,0.025596,0.025596,0.0005,0.0005
1.372e-05,0.038448,0.24511,0.17851,328,2.6895e-10,0,0,0.00025522,0,0,0.2841,0.42916,1,0.47079,0.39233,99400,1.4014,0.82149,0,nan,1,0.025833,0.025833,0.0005,0.0005
1.372e-05,0.038436,0.24596,0.17918,328,2.3418e-10,0,0,0.00025433,0,0,0.28378,0.42881,1,0.47026,0.39201,99400,1.4009,0.82082,0,nan,1,0.02607,0.02607,0.0005,0.0005
1.372e-05,0.038424,0.2468,0.17985,328,2.1968e-10,0,0,0.00025346,0,0,0.28346,0.42847,1,0.46974,0.39169,99400,1.4005,0.82015,0,nan,1,0.026307,0.026307,0.0005,0.0005
1.372e-05,0.038413,0.24764,0.18052,328,2.2274e-10,0,0,0.00025261,0,0,0.28315,0.42812,1,0.46921,0.39137,99400,1.4001,0.81948,0,nan,1,0.026544,0.026544,0.0005,0.0005
1.372e-05,0.038401,0.24849,0.18119,328,2.2581e-10,0,0,0.00025175,0,0,0.28283,0.42777,1,0.46868,0.39105,99400,1.3997,0.81881,0,nan,1,0.026781,0.026781,0.0005,0.0005
1.372e-05,0.038389,0.24933,0.18186,328,2.2887e-10,0,0,0.0002509,0,0,0.28251,0.42742,1,0.46816,0.39073,99400,1.3992,0.81814,0,nan,1,0.027018,0.027018,0.0005,0.0005
1.372e-05,0.038378,0.25017,0.18253,328,2.3193e-10,0,0,0.00025005,0,0,0.28219,0.42707,1,0.46763,0.39041,99400,1.3988,0.81747,0,nan,1,0.027255,0.027255,0.0005,0.0005
1.372e-05,0.038366,0.25102,0.1832,328,2.5347e-10,0,0,0.00024921,0,0,0.28188,0.42672,1,0.46711,0.39009,99400,1.3984,0.8168,0,nan,1,0.027492,0.027492,0.0005,0.0005
1.372e-05,0.038354,0.25186,0.18387,328,2.9244e-10,0,0,0.00024838,0,0,0.28156,0.42636,1,0.46658,0.38977,99400,1.398,0.81613,0,nan,1,0.027729,0.027729,0.0005,0.0005
1.372e-05,0.038343,0.2527,0.18454,328,3.3141e-10,0,0,0.00024755,0,0,0.28124,0.42601,1,0.46605,0.38945,99400,1.3975,0.81546,0,nan,1,0.027966,0.027966,0.0005,0.0005
1.372e-05,0.038331,0.25355,0.18521,328,3.7038e-10,0,0,0.00024673,0,0,0.28092,0.42566,1,0.46553,0.38912,99400,1.3971,0.81479,0,nan,1,0.028203,0.028203,0.0005,0.0005
1.372e-05,0.038319,0.25439,0.18589,328,4.0934e-10,0,0,0.0002459,0,0,0.28061,0.42531,1,0.465,0.3888,99400,1.3967,0.81411,0,nan,1,0.02844,0.02844,0.0005,0.0005
1.372e-05,0.038308,0.25523,0.18656,328,4.252e-10,0,0,0.00024509,0,0,0.28029,0.42496,1,0.46448,0.38848,99400,1.3963,0.81344,0,nan,1,0.028677,0.028677,0.0005,0.0005
1.372e-05,0.038296,0.25608,0.18723,328,4.1735e-10,0,0,0.00024429,0,0,0.27997,0.42461,1,0.46395,0.38816,99400,1.3958,0.81277,0,nan,1,0.028914,0.028914,0.0005,0.0005
