# Residuals     
# Time          	Uy              	Uz              	p               	h               	T               
0               	N/A	N/A	N/A	N/A
0.0214          	1.18566973e-04	1.16083191e-05	1.22159022e-03	N/A	1.77183025e-06
0.0215          	1.16183490e-04	1.12168859e-05	1.16907971e-03	N/A	1.79519575e-06
0.0216          	1.13279596e-04	1.08181313e-05	1.12386772e-03	N/A	1.78680904e-06
0.0217          	1.09783989e-04	1.03984767e-05	1.08648910e-03	N/A	1.74534574e-06
0.0218          	1.06119115e-04	9.95433511e-06	1.05095677e-03	N/A	1.66352037e-06
0.0219          	1.01585418e-04	9.50994116e-06	1.02052351e-03	N/A	1.54654614e-06
0.022           	9.66292118e-05	9.07974792e-06	9.90019250e-04	N/A	1.40921710e-06
0.0221          	9.18631177e-05	8.66270814e-06	9.63927703e-04	N/A	1.26451803e-06
0.0222          	8.68924685e-05	8.33292590e-06	9.33104711e-04	N/A	1.11906911e-06
0.0223          	8.28069788e-05	8.09317382e-06	9.02476689e-04	N/A	1.00407776e-06
0.0224          	7.90517562e-05	7.85559679e-06	8.71873216e-04	N/A	9.37371728e-07
0.0225          	7.65609721e-05	7.64603302e-06	8.38746074e-04	N/A	9.32052956e-07
0.0226          	7.43362147e-05	7.44264892e-06	8.06322804e-04	N/A	9.52993442e-07
0.0227          	7.23925770e-05	7.22781522e-06	7.72135011e-04	N/A	9.81805273e-07
0.0228          	7.08483890e-05	6.98791436e-06	7.38264297e-04	N/A	9.99496556e-07
0.0229          	6.90295866e-05	6.73940786e-06	7.08843528e-04	N/A	1.00657555e-06
0.023           	6.71339519e-05	6.48595385e-06	6.80614019e-04	N/A	9.94717562e-07
0.0231          	6.49789105e-05	6.22611242e-06	6.60079695e-04	N/A	9.60663579e-07
0.0232          	6.23721489e-05	5.95826657e-06	6.36317022e-04	N/A	9.10501396e-07
0.0233          	5.98867753e-05	5.69393758e-06	6.17439254e-04	N/A	8.41285413e-07
0.0234          	5.67995603e-05	5.42640961e-06	6.00738138e-04	N/A	7.61931068e-07
0.0235          	5.39847239e-05	5.18789497e-06	5.80310880e-04	N/A	6.81270657e-07
0.0236          	5.12771592e-05	4.99745895e-06	5.63814566e-04	N/A	6.03642857e-07
0.0237          	4.88382100e-05	4.83800551e-06	5.44128746e-04	N/A	5.41201484e-07
0.0238          	4.67896419e-05	4.70159246e-06	5.24616163e-04	N/A	5.06133191e-07
0.0239          	4.51758475e-05	4.56249453e-06	5.05821764e-04	N/A	5.06784355e-07
0.024           	4.38075769e-05	4.44450289e-06	4.83446996e-04	N/A	5.20209651e-07
0.0241          	4.26748225e-05	4.30647766e-06	4.65242733e-04	N/A	5.35315515e-07
0.0242          	4.14780196e-05	4.15658485e-06	4.43618026e-04	N/A	5.46632242e-07
0.0243          	4.04738398e-05	4.01452388e-06	4.25132092e-04	N/A	5.49892257e-07
0.0244          	3.92362920e-05	3.85344353e-06	4.10006977e-04	N/A	5.43943132e-07
0.0245          	3.79916063e-05	3.70487084e-06	3.94146138e-04	N/A	5.20134396e-07
0.0246          	3.65313260e-05	3.54950934e-06	3.82394736e-04	N/A	4.94419927e-07
0.0247          	3.49333516e-05	3.38533530e-06	3.69169074e-04	N/A	4.59740995e-07
0.0248          	3.33740782e-05	3.24122095e-06	3.57506380e-04	N/A	4.17480412e-07
0.0249          	3.16871392e-05	3.08314060e-06	3.47755445e-04	N/A	3.72314513e-07
0.025           	3.00673419e-05	2.96073229e-06	3.34996382e-04	N/A	3.30262277e-07
0.0251          	2.87219565e-05	2.86697113e-06	3.24989094e-04	N/A	2.93708460e-07
0.0252          	2.74744330e-05	2.77107226e-06	3.12925503e-04	N/A	2.67782359e-07
0.0253          	2.63611055e-05	2.69285081e-06	3.00525920e-04	N/A	2.61528977e-07
0.0254          	2.54907505e-05	2.61281602e-06	2.89628728e-04	N/A	2.68144947e-07
0.0255          	2.47953681e-05	2.53759763e-06	2.76702721e-04	N/A	2.76442038e-07
0.0256          	2.40763559e-05	2.44992430e-06	2.65041044e-04	N/A	2.83943536e-07
0.0257          	2.33429627e-05	2.36099147e-06	2.53845741e-04	N/A	2.88999810e-07
0.0258          	2.27246695e-05	2.27755458e-06	2.42826394e-04	N/A	2.89066200e-07
0.0259          	2.19689784e-05	2.18237166e-06	2.34412759e-04	N/A	2.82896777e-07
